Agency Name,Reference Number,Program Name,State Purpose,Fund Name,Financing Source,Chapter/Section/Year,Description,Enacted Reappropriations 2015-16,Encumbrance as of 5/5/2015,Enacted Appropriations 2015-16
"Environmental Conservation, Department of",09LA12ER,Environment and Recreation,Environmental Protection or Improvements,Environmental Protection Fund,Environmental Protection Fund,0054/01/12,Land Acquisition,5754000,454410,0
"Environmental Conservation, Department of",09LA13ER,Environment and Recreation,Environmental Protection or Improvements,Environmental Protection Fund,Environmental Protection Fund,0054/01/13,Land Acquisition,11037000,274232,0
"Environmental Conservation, Department of",09LA14ER,Environment and Recreation,Environmental Protection or Improvements,Environmental Protection Fund,Environmental Protection Fund,0054/01/14,land acquisition,21650000,1089246,0
"Environmental Conservation, Department of",09LA15ER,Environment and Recreation,Environmental Protection or Improvements,Environmental Protection Fund,Environmental Protection Fund,0000/00/15,Land Acquisition,0,0,26550000
"Environmental Conservation, Department of",09LC11ER,Environment and Recreation,Environmental Protection or Improvements,Environmental Protection Fund,Environmental Protection Fund,0054/01/11,Non-hazardous landfill closure,93000,0,0
"Environmental Conservation, Department of",09LC13ER,Environment and Recreation,Environmental Protection or Improvements,Environmental Protection Fund,Environmental Protection Fund,0054/01/13,Non-hazardous landfill closure,49000,0,0
"Environmental Conservation, Department of",09LC14ER,Environment and Recreation,Environmental Protection or Improvements,Environmental Protection Fund,Environmental Protection Fund,0054/01/14,non-haz landfill closures,250000,0,0
"Environmental Conservation, Department of",09LC15ER,Environment and Recreation,Environmental Protection or Improvements,Environmental Protection Fund,Environmental Protection Fund,0000/00/15,Landfill Closure,0,0,250000
"Environmental Conservation, Department of",09LE15ER,Environment and Recreation,Environmental Protection or Improvements,Environmental Protection Fund,Environmental Protection Fund,0000/00/15,Lake Erie Watershed Protection,0,0,250000
"Environmental Conservation, Department of",09LF1353,Lands and Forests,Preservation of Facilities,Capital Projects Fund,Capital Projects Fund,0054/01/13,State Lands and Forest Management,1500000,0,0
"Environmental Conservation, Department of",09LF1453,Lands and Forests,Preservation of Facilities,Capital Projects Fund,Capital Projects Fund,0054/01/14,Lands and Forests - Future,1500000,0,0
"Environmental Conservation, Department of",09LP12ER,Environment and Recreation,Environmental Protection or Improvements,Environmental Protection Fund,Environmental Protection Fund,0054/01/12,Long Island Central Pine Barrens,9000,0,0
"Environmental Conservation, Department of",09LP13ER,Environment and Recreation,Environmental Protection or Improvements,Environmental Protection Fund,Environmental Protection Fund,0054/01/13,Long Island Central Pine Barrens,479000,0,0
"Environmental Conservation, Department of",09LP14ER,Environment and Recreation,Environmental Protection or Improvements,Environmental Protection Fund,Environmental Protection Fund,0054/01/14,long island central pine barrens,1250000,982435,0
"Environmental Conservation, Department of",09LP15ER,Environment and Recreation,Environmental Protection or Improvements,Environmental Protection Fund,Environmental Protection Fund,0000/00/15,Long Island Pine Barrens,0,0,1600000
"Environmental Conservation, Department of",09LS1052,Recreation,Health and Safety,Capital Projects Fund,Capital Projects Fund,0055/01/10,Lift and Trail Safety,117000,0,0
"Environmental Conservation, Department of",09MO0055,Air Resources,Environmental Protection or Improvements,Clean Air Fund,Clean Air Fund,0055/01/00,Clean Air-Mobile Source,507000,0,0
"Environmental Conservation, Department of",09MO0155,Air Resources,Environmental Protection or Improvements,Clean Air Fund,Clean Air Fund,0000/00/00,Clean Air-Mobile,370000,0,0
"Environmental Conservation, Department of",09MO0255,Air Resources,Environmental Protection or Improvements,Clean Air Fund,Clean Air Fund,0054/01/02,Clean Air - Mobile Source,2033000,0,0
"Environmental Conservation, Department of",09MO9955,Air Resources,Environmental Protection or Improvements,Clean Air Fund,Clean Air Fund,0055/01/99,Clean Air - Mobile Source,97000,8220,0
"Environmental Conservation, Department of",09MP07ER,Environment and Recreation,Environmental Protection or Improvements,Environmental Protection Fund,Environmental Protection Fund,0055/01/07,Municipal Parks,6953000,2483506,0
"Environmental Conservation, Department of",09MP08ER,Environment and Recreation,Environmental Protection or Improvements,Environmental Protection Fund,Environmental Protection Fund,0055/01/08,Municipal Parks,10345000,2916835,0
"Environmental Conservation, Department of",09MP09ER,Environment and Recreation,Environmental Protection or Improvements,Environmental Protection Fund,Environmental Protection Fund,0055/01/09,Municipal Parks,12293000,3565613,0
"Environmental Conservation, Department of",09MP1053,Lands and Forests,Environmental Protection or Improvements,Capital Projects Fund,Capital Projects Fund,0055/01/10,Unit Management Plans,392000,0,0
"Environmental Conservation, Department of",09MP10ER,Environment and Recreation,Environmental Protection or Improvements,Environmental Protection Fund,Environmental Protection Fund,0099/01/10,Municipal Parks,8060000,3825659,0
"Environmental Conservation, Department of",09MP1153,Lands and Forests,Preservation of Facilities,Capital Projects Fund,Capital Projects Fund,0054/01/11,Unit Management Plans,600000,0,0
"Environmental Conservation, Department of",09MP11ER,Environment and Recreation,Environmental Protection or Improvements,Environmental Protection Fund,Environmental Protection Fund,CH54/01/11,Municipal Parks,8972000,5026548,0
"Environmental Conservation, Department of",09MP12ER,Environment and Recreation,Environmental Protection or Improvements,Environmental Protection Fund,Environmental Protection Fund,0054/01/12,Municipal Parks,11160000,5884855,0
"Environmental Conservation, Department of",09MP13ER,Environment and Recreation,Environmental Protection or Improvements,Environmental Protection Fund,Environmental Protection Fund,0054/01/13,Municipal Parks,15500000,8552780,0
"Environmental Conservation, Department of",09MP14ER,Environment and Recreation,Environmental Protection or Improvements,Environmental Protection Fund,Environmental Protection Fund,0054/01/14,municipal parks,15500000,0,0
"Environmental Conservation, Department of",09MP15ER,Environment and Recreation,Environmental Protection or Improvements,Environmental Protection Fund,Environmental Protection Fund,0000/00/15,Municipal Parks,0,0,15750000
"Environmental Conservation, Department of",09MR03A1,Marine Resources,Environmental Protection or Improvements,Federal Capital Projects,Federal Capital Projects Fund,0055/01/03,Federal Marine Resources,183000,0,0
"Environmental Conservation, Department of",09MR04A1,Marine Resources,Environmental Protection or Improvements,Federal Capital Projects,Federal Capital Projects Fund,0055/01/04,Federal - Marine Resources,21000,0,0
"Environmental Conservation, Department of",09MR07ER,Environment and Recreation,Environmental Protection or Improvements,Environmental Protection Fund,Environmental Protection Fund,0055/01/07,Municipal waste reduction/recycling,1142000,742500,0
"Environmental Conservation, Department of",09MR08A1,Marine Resources,Environmental Protection or Improvements,Federal Capital Projects,Federal Capital Projects Fund,0055/01/08,Federal - Marine Resources,1665000,0,0
"Environmental Conservation, Department of",09W49863,Water Resources,Health and Safety,Capital Projects Fund,Capital Projects Fund,0055/01/98,Shinnecock/L Construction,473000,0,0
"Environmental Conservation, Department of",09MR08ER,Environment and Recreation,Environmental Protection or Improvements,Environmental Protection Fund,Environmental Protection Fund,0055/01/08,Municipal waste reduction/recycling,343000,150044,0
"Environmental Conservation, Department of",09MR09ER,Environment and Recreation,Environmental Protection or Improvements,Environmental Protection Fund,Environmental Protection Fund,0055/01/09,Municipal waste reduction/recycling,119000,0,0
"Environmental Conservation, Department of",09MR10A1,Marine Resources,Environmental Protection or Improvements,Federal Capital Projects,Federal Capital Projects Fund,0055/01/10,Federal - Marine Resources,5700000,0,0
"Environmental Conservation, Department of",09MR10ER,Environment and Recreation,Environmental Protection or Improvements,Environmental Protection Fund,Environmental Protection Fund,0099/01/10,Municipal waste reduction/recycling,1275000,433534,0
"Environmental Conservation, Department of",09MR11A1,Marine Resources,Environmental Protection or Improvements,Federal Capital Projects,Federal Capital Projects Fund,0054/01/11,Federal - Marine Resources,5000000,0,0
"Environmental Conservation, Department of",09MR11ER,Environment and Recreation,Environmental Protection or Improvements,Environmental Protection Fund,Environmental Protection Fund,0054/01/11,Municipal waste reduction/recycling,653000,0,0
"Environmental Conservation, Department of",09MR12ER,Environment and Recreation,Environmental Protection or Improvements,Environmental Protection Fund,Environmental Protection Fund,0054/01/12,Municipal waste reduction/recycling,430000,0,0
"Environmental Conservation, Department of",09MR13ER,Environment and Recreation,Environmental Protection or Improvements,Environmental Protection Fund,Environmental Protection Fund,0054/01/13,Municipal waste reduction/recycling,1258000,928042,0
"Environmental Conservation, Department of",09MR14ER,Environment and Recreation,Environmental Protection or Improvements,Environmental Protection Fund,Environmental Protection Fund,0054/01/14,municipal waste reduction,7000000,2116159,0
"Environmental Conservation, Department of",09MR15A1,Marine Resources,Environmental Protection or Improvements,Federal Capital Projects,Federal Capital Projects Fund,0000/00/15,Marine Resources Federal,0,0,5000000
"Environmental Conservation, Department of",09MR15ER,Environment and Recreation,Environmental Protection or Improvements,Environmental Protection Fund,Environmental Protection Fund,0000/00/15,Municipal Recycling,0,0,7500000
"Environmental Conservation, Department of",09NP07ER,Environment and Recreation,Environmental Protection or Improvements,Environmental Protection Fund,Environmental Protection Fund,0055/01/07,Non-Point Source - Non-Agricultural,1752000,868555,0
"Environmental Conservation, Department of",09NP08ER,Environment and Recreation,Environmental Protection or Improvements,Environmental Protection Fund,Environmental Protection Fund,0055/01/08,Non-Point Source - Non-Agricultural,2585000,587813,0
"Environmental Conservation, Department of",09NP09ER,Environment and Recreation,Environmental Protection or Improvements,Environmental Protection Fund,Environmental Protection Fund,0055/01/09,Non-Point Source - Non-Agricultural,3428000,1055477,0
"Environmental Conservation, Department of",09NP10ER,Environment and Recreation,Environmental Protection or Improvements,Environmental Protection Fund,Environmental Protection Fund,0099/01/10,Non-Point Source - Non-Agricultural,3703000,0,0
"Environmental Conservation, Department of",09NP11ER,Environment and Recreation,Environmental Protection or Improvements,Environmental Protection Fund,Environmental Protection Fund,0054/01/11,Non-Point Source - Non-Agricultural,4000000,4125,0
"Environmental Conservation, Department of",09NP12ER,Environment and Recreation,Environmental Protection or Improvements,Environmental Protection Fund,Environmental Protection Fund,0054/01/12,Non-Point Source - Non-Agricultural,4000000,0,0
"Environmental Conservation, Department of",09NP13ER,Environment and Recreation,Environmental Protection or Improvements,Environmental Protection Fund,Environmental Protection Fund,0054/01/13,Non-Point Source - Non-Agricultural,4500000,0,0
"Environmental Conservation, Department of",09NP14ER,Environment and Recreation,Environmental Protection or Improvements,Environmental Protection Fund,Environmental Protection Fund,0054/01/14,Non-point source - non-agriculture,4500000,1736196,0
